Parametre,Katsayı,Std.Hata,Z-ist.,p-değeri,CI_lo,CI_hi,Odds Oranı,Anlamlı
intercept,-0.871668481160638,0.11693624258352361,-7.454220025395695,9.037215420448774e-14,-1.1008635166243443,-0.6424734456969317,0.4182531193011289,True
Pregnancies,0.324476791395368,0.1289771826879438,2.515768949461602,0.011877301794613437,0.07168151332699813,0.5772720694637379,1.3833066986419533,True
Glucose,1.1639629941881575,0.14441762764157162,8.059701666592774,6.661338147750939e-16,0.8809044440106771,1.4470215443656378,3.202600045739272,True
BloodPressure,-0.08407040975057531,0.12672603592418616,-0.6634028211919275,0.5070725995394998,-0.3324534401619802,0.16431262066082955,0.9193665214487138,False
SkinThickness,0.05175773887439662,0.14183406076673633,0.3649175564360261,0.7151729485728393,-0.22623702022840658,0.3297524979771998,1.0531205814293538,False
Insulin,-0.02312586425474878,0.12600873974809182,-0.18352587527643136,0.8543854180186983,-0.27010299416100875,0.2238512656515112,0.9771394890995418,False
BMI,0.6595135069201944,0.1487012878564318,4.435156658205526,9.200535831865864e-06,0.36805898272158805,0.9509680311188007,1.9338513002423472,True
DiabetesPedigreeFunction,0.2189558995891782,0.11519437403731358,1.9007516766248709,0.05733454630017443,-0.006825073523956421,0.44473687270231277,1.2447763803273104,False
Age,0.268537724262626,0.1330534805333733,2.018269068844597,0.04356324626004504,0.00775290241721438,0.5293225461080376,1.3080503213336812,True
